k,diameter,covers,sec_radius,n_vertices,area,helper_in_wedges
49,223.7887102656857,1,111.89435513284285,4,2950.3950217727397,1
50,800.0767636444203,0,400.07205072801133,4,19688.79490597456,0
51,688.5490070811702,1,344.2745035405851,4,10868.525063756955,1
52,455.3946316712014,1,227.6973158356007,4,5951.431582651636,1
53,324.5932132135197,0,162.3230074569225,3,5514.511952561297,1
54,113.18228381427166,1,56.59114190713583,4,1934.440602211791,1
55,672.8321733776608,1,336.4160866888304,4,7053.12773948289,1
56,210.30828690044208,1,105.15414345022104,4,2868.9246745932323,1
57,68.2898844364509,1,34.14494221822545,4,583.6141175641242,1
58,100.34955369179336,1,50.17477684589668,4,1383.5420204998081,1
59,489.20003288619785,1,244.60001644309892,4,6221.887008629303,1
60,254.6178768186027,1,127.30893840930135,4,4939.504124698171,1
61,73.31062106611995,1,36.655310533059975,4,769.2844573780603,1
62,218.24057612127785,1,109.12028806063893,4,3305.927178982689,1
63,157.73525515766497,1,78.86762757883248,4,2201.8625947856417,1
64,29.627710445027184,1,14.813855222513592,4,187.46047930982365,1
65,94.75456129133697,1,47.377280645668485,4,905.5723533382625,1
66,271.21819646438814,1,135.60909823219407,4,4100.017229286401,1
67,382.45715113891566,1,191.22857556945783,4,5392.875424731566,1
68,74.9567315967361,1,37.47836579836805,4,951.7578760601818,1
69,366.5431198586974,1,183.2715599293487,4,5122.5068402425895,1
70,23.966231508888608,1,11.983115754444304,4,155.37327505730968,1
71,16.698320036794733,1,8.349160018397367,4,100.78749280984266,1
72,884.0242367691928,0,442.017842213656,3,13244.453987211644,0
73,56.429247671006436,1,28.214623835503218,4,511.3604931989248,1
74,135.49323077877352,1,67.74661538938676,3,229.96685943863122,0
75,87.53551925573875,1,43.767759627869374,4,931.1594700803817,1
76,55.662793857065545,1,27.831396928532772,4,629.7518531696696,1
77,165.7223010259457,1,82.86115051297286,4,2327.4838026894286,1
78,411.12665764795037,1,205.56332882397518,4,6183.427451857635,1
79,53.338988025388296,1,26.669494012694148,3,39.781936195809976,0
80,60.114400371499606,1,30.057200185749803,4,719.8618184923616,1
81,22.756169578087064,1,11.378084789043532,4,195.74794992092646,1
82,946.8484278359009,1,473.42421391795045,5,12222.15936590932,1
83,102.49644749934872,1,51.24822374967436,4,1199.4676027177775,1
84,22.621775207535954,1,11.310887603767977,4,159.75734782929794,1
85,53.17213860722935,1,26.586069303614675,4,544.6129400179398,1
86,87.72007798619462,1,43.86003899309731,4,1143.029655401093,1
87,600.5987912482685,1,300.29939562413426,5,16415.35183520212,1
88,17.129220174848225,1,8.564610087424112,4,83.59409389825169,1
89,203.2188774354711,1,101.60943871773554,4,3508.712504471696,1
90,89.58676426160233,1,44.79338213080116,4,370.2648261234426,1
91,896.2680270915669,1,448.13401354578343,5,16774.408900502873,1
92,207.38737410914283,1,103.69368705457141,4,1293.5878193372919,1
93,597.2497867507382,1,298.6248933753691,5,9984.486722895792,1
94,161.17543347240584,1,80.58771673620292,4,2965.3584195235744,1
95,95.72778579880195,1,47.86389289940097,4,1102.7313951465749,1
96,27.51202058482819,1,13.756010292414095,4,203.68141739181124,1
97,12.004336274058828,1,6.002168137029414,4,13.819437946287508,1
98,1045.4825968282355,1,522.7412984141178,4,16661.712761929528,0
99,64.21201120625355,1,32.106005603126775,4,891.764138362043,1
100,199.22674928484702,1,99.61337464242351,4,2893.9849267886493,1
101,206.68250634488334,1,103.34125317244167,4,4005.751602078264,1
102,750.7333747234188,1,375.3666873617094,3,2993.0615281106802,0
103,410.1105392312044,1,205.0552696156022,4,6464.22393159612,1
104,308.37159648106416,1,154.18579824053208,4,5633.99079822193,1
105,252.18409226213186,1,126.09204613106593,4,4128.252149365828,1
106,33.47499111905488,1,16.73749555952744,4,371.72341689733366,1
107,18.215026743615088,1,9.107513371807544,4,48.382962052044604,1
108,327.7790876009545,1,163.88954380047724,5,8148.809565346834,1
109,323.05049793558055,1,161.52524896779028,4,6223.844847178436,1
110,336.8395013971717,1,168.41975069858586,4,5317.473998497095,1
111,174.0630966185527,1,87.03154830927635,4,1981.6582442820727,1
112,110.04015716704957,1,55.020078583524786,4,1273.8584365650313,1
113,54.05729534558331,1,27.028647672791656,4,561.9574601190543,1
114,284.1753473486503,1,142.08767367432515,4,5568.811333265039,1
115,24.907827353198766,1,12.453913676599383,4,105.83627906271067,1
116,684.7028731845896,0,342.3922319190462,5,16059.65628662071,1
117,627.0691315736868,0,313.53850292254367,3,11781.219239695842,0
118,1237.522689677221,1,618.7613448386105,4,23072.78069093838,0
119,360.356386697542,1,180.178193348771,5,7273.730719610117,1
120,774.3812831493166,1,387.1906415746583,5,11417.014623017702,1
121,291.73895632598305,1,145.86947816299153,5,5427.912114492006,1
122,69.02512682976031,1,34.512563414880155,4,834.3398250907339,1
123,514.036945155033,0,257.0939292306597,5,14293.401426267941,1
124,118.19637683217697,1,59.09818841608848,4,1837.2521916036058,1
125,219.47571416479198,1,109.73785708239599,4,1313.43769638527,1
126,1017.1288211879373,0,508.5760277777818,5,23295.862266318345,0
127,78.33570340393887,1,39.16785170196943,4,825.6104049536661,1
128,287.33918854405624,1,143.66959427202812,4,5550.095240416471,1
129,163.2474735104376,1,81.6237367552188,4,2842.784699070675,1
130,443.06859860987083,1,221.53429930493542,4,2572.6707052689217,1
131,82.03737350678378,1,41.01868675339189,4,888.9967016107476,1
132,540.6369444381626,1,270.3184722190813,4,8311.365466324263,1
133,80.10267288408704,1,40.05133644204352,4,1313.2611874598806,1
134,287.0795543342016,1,143.5397771671008,4,4006.8702413567225,1
135,205.81086620097284,1,102.90543310048642,4,3963.6690278676106,1
136,37.576496829165585,1,18.788248414582792,4,485.54223533170443,1
137,136.31810094890824,1,68.15905047445412,4,2088.8786823566334,1
138,40.53315334711515,1,20.266576673557577,4,374.9572619492974,1
139,129.00535939593993,1,64.50267969796997,4,1725.5704825485227,1
140,1273.9371394646068,1,636.9685697323034,4,17096.815900643713,0
141,39.5263365128377,1,19.76316825641885,4,260.2377082379571,1
142,204.38598073077185,1,102.19299036538592,4,2688.163080112543,1
143,67.6330441048181,1,33.81652205240905,4,696.9915100370781,1
144,57.634441816567566,1,28.817220908283783,4,864.3396354379802,1
145,375.0573490355343,1,187.52867451776714,5,10302.360278928827,1
146,281.4727393648903,1,140.73636968244514,4,3640.2632643865,1
147,93.0882400197218,1,46.5441200098609,4,1389.7244109842286,1
148,103.55088094532526,1,51.77544047266263,4,1234.5651022033562,1
149,25.4133583217791,1,12.70667916088955,4,279.58080821730255,1
150,99.88400185213325,1,49.942000926066626,4,1182.6054855201146,1
151,159.57420692746365,1,79.78710346373182,4,3063.556950877177,1
152,91.11369970782731,1,45.556849853913654,4,1476.716047193826,1
153,943.4027348267398,1,471.7013674133699,5,12182.662844984981,1
154,927.0957673368324,1,463.5478836684162,5,15798.701427098502,1
155,192.76534274446473,1,96.38267137223237,4,2738.2630225313187,1
156,82.82811769658592,1,41.41405884829296,4,1138.7486765632057,1
157,527.2505013368008,1,263.6252506684004,4,8868.253177635459,1
158,96.46451965828992,1,48.23225982914496,4,917.7096682854899,1
159,140.4266528949072,1,70.2133264474536,4,1401.1562225994567,1
160,19.359633095196017,1,9.679816547598008,4,93.0991201799784,1
161,33.397280586713485,1,16.698640293356743,4,234.34307137980431,1
162,624.6503052329415,1,312.32515261647075,5,10900.269333250617,1
163,60.11349019401307,1,30.056745097006534,4,1007.094266961838,1
164,173.72918740420099,1,86.86459370210049,4,2885.1304755583405,1
165,304.78863620953877,1,152.39431810476938,4,4474.941329632657,1
166,89.21322426970879,1,44.606612134854394,4,982.2373884325207,1
167,105.90700354613705,1,52.953501773068524,4,1257.7556071247964,1
168,103.52737626730924,1,51.76368813365462,4,1025.862695602933,1
169,17.10456684553831,1,8.552283422769156,4,90.28668381472016,1
170,68.66958151790595,1,34.33479075895298,4,965.0812446082564,1
171,142.3431209179761,1,71.17156045898805,4,2150.050904039759,1
172,42.338802567166006,1,21.169401283583003,4,376.82671985287016,1
173,246.33148066154791,1,123.16574033077396,4,3174.462314524113,1
174,46.20008658995033,1,23.100043294975166,4,607.2212909757218,1
175,193.86365601855513,1,96.93182800927757,4,2418.796155261225,1
176,86.70559995259627,1,43.35279997629814,4,1187.867498837688,1
177,415.9387791568311,1,207.96938957841556,4,7010.376132147867,1
178,270.44212508092767,1,135.22106254046383,4,2475.916046444705,1
179,45.54706896749713,1,22.773534483748566,4,476.6116242387907,1
180,62.19809893398325,1,31.099049466991627,4,834.8592553873532,1
181,98.30013708867756,1,49.15006854433878,4,1283.4467881773016,1
182,366.1956658864047,1,183.09783294320235,4,4342.503126560845,1
183,568.4285699314668,0,284.23163935656027,6,10854.594162015346,1
184,1038.895185949475,1,519.4475929747375,4,6470.95365886834,0
185,450.7439387312821,1,225.37196936564106,4,2816.3492482790607,1
186,298.02329849185287,1,149.01164924592644,4,3510.2202348948776,1
187,18.606483706100466,1,9.303241853050233,4,131.47867082116136,1
188,55.31716814750192,1,27.65858407375096,4,541.4550547901163,1
189,912.3794720929815,1,456.18973604649074,4,15505.718198722534,0
190,359.7462167455472,1,179.8731083727736,4,2124.12436873122,1
191,170.3338498994722,1,85.1669249497361,4,2839.787459551968,1
192,19.755839925014314,1,9.877919962507157,4,137.59068614013813,1
193,305.5660189352032,1,152.7830094676016,4,4570.215361724797,1
194,49.379006550396646,1,24.689503275198323,4,558.8959316604887,1
195,102.7633262872225,1,51.38166314361125,4,775.1609330050705,1
196,62.27471719717638,1,31.13735859858819,4,974.6518111134174,1
197,91.17125623399136,1,45.58562811699568,4,1024.5500618060978,1
198,653.4081546987458,1,326.7040773493729,5,12433.027204314501,1
